project,last_step,last_time_fs,last_xyz_time_fs,last_temp_K,n_xyz_frames,n_mulliken_blocks,n_hirshfeld_blocks,last_al_slabMin_A,last_al_mgMin_A,last_al_above_slab_top_A,last_nMg_slab_lt_3p0,last_nMg_slab_lt_3p2,last_nMg_all_lt_3p0,last_nMg_all_lt_3p2,last_nCl_lt_2p8,last_al_cl1_A,last_al_cl2_A,last_qAl_mulliken_e,last_qAl_hirshfeld_e,delta_qAl_mulliken_e,min_qAl_mulliken_e,min_al_mgMin_A,max_al_mgMin_A,min_al_slabMin_A,max_al_slabMin_A,min_al_above_slab_top_A,max_al_above_slab_top_A,max_nMg_slab_lt_3p2,min_nCl_lt_2p8,contact_frames,contact_low_qAl_frames,contact_low_qAl_first_fs,contact_low_qAl_last_fs,contact_low_qAl_span_fs,contact_low_qAl_longest_contiguous_fs,contact_low_qAl_current_first_fs,contact_low_qAl_current_last_fs,contact_low_qAl_current_contiguous_fs,slab_contact_frames,slab_contact_low_qAl_frames,slab_contact_low_qAl_first_fs,slab_contact_low_qAl_last_fs,slab_contact_low_qAl_span_fs,slab_contact_low_qAl_longest_contiguous_fs,slab_contact_low_qAl_current_first_fs,slab_contact_low_qAl_current_last_fs,slab_contact_low_qAl_current_contiguous_fs,near_slab_contact_frames,near_slab_contact_low_qAl_frames,near_slab_contact_low_qAl_first_fs,near_slab_contact_low_qAl_last_fs,near_slab_contact_low_qAl_span_fs,near_slab_contact_low_qAl_longest_contiguous_fs,near_slab_contact_low_qAl_current_first_fs,near_slab_contact_low_qAl_current_last_fs,near_slab_contact_low_qAl_current_contiguous_fs,near_slab_contact_low_qAl_nCl_le1_frames,near_slab_contact_low_qAl_nCl_le1_first_fs,near_slab_contact_low_qAl_nCl_le1_last_fs,near_slab_contact_low_qAl_nCl_le1_span_fs,near_slab_contact_low_qAl_nCl_le1_longest_contiguous_fs,near_slab_contact_low_qAl_nCl_le1_current_first_fs,near_slab_contact_low_qAl_nCl_le1_current_last_fs,near_slab_contact_low_qAl_nCl_le1_current_contiguous_fs,mg_coord_low_qAl_frames,mg_coord_low_qAl_first_fs,mg_coord_low_qAl_last_fs,mg_coord_low_qAl_span_fs,mg_coord_low_qAl_longest_contiguous_fs,mg_coord_low_qAl_current_first_fs,mg_coord_low_qAl_current_last_fs,mg_coord_low_qAl_current_contiguous_fs,contact_low_qAl_flag,slab_contact_low_qAl_flag,near_slab_contact_low_qAl_flag,near_slab_contact_low_qAl_nCl_le1_flag,mg_coord_low_qAl_flag,new_reduction_flag
t23_release_bare_qm2_s1_300K,43,43.0,40.0,316.295670615,5,44,44,2.7182495883168367,2.7182495883168367,-0.3200499378999986,1,2,1,2,1,2.154019185741255,3.1814841196093315,0.328091,0.648,-0.007823999999999998,0.328,2.685807848785823,2.7182495883168367,2.685807848785823,2.7182495883168367,-0.3786201067999997,-0.3200499378999986,2,1,5,0,nan,nan,0.0,0.0,nan,nan,0.0,5,0,nan,nan,0.0,0.0,nan,nan,0.0,5,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23b_codep_contact_release_bare_qm2_s1_300K,3574,1787.0,1785.0,272.634515745,358,358,358,2.783874449472602,2.783874449472602,2.5724920601,1,1,1,1,1,2.2737160204502733,3.888106203563128,0.181664,0.212,-0.07983400000000002,0.06375,2.5516130868869444,3.1044486594318497,2.5516130868869444,3.1044486594318497,2.4597517609000015,2.9269094372000026,1,0,148,148,0.0,1785.0,1785.0,240.0,1730.0,1785.0,55.0,148,148,0.0,1785.0,1785.0,240.0,1730.0,1785.0,55.0,321,321,0.0,1785.0,1785.0,915.0,1465.0,1785.0,320.0,289,0.0,1785.0,1785.0,740.0,1465.0,1785.0,320.0,358,0.0,1785.0,1785.0,1785.0,0.0,1785.0,1785.0,True,True,True,True,True,False
t23b_codep_contact_release_bare_qm2_s2_325K,1695,847.5,845.0,339.362331564,170,170,170,2.829335999551807,2.829335999551807,2.7168651622000013,1,1,1,1,1,2.099083884934954,4.286216107612728,0.210673,0.239,-0.05082500000000001,0.107428,2.530273592037589,2.944229362996344,2.530273592037589,2.944229362996344,2.1811379311000003,2.8043990953999973,1,1,106,106,0.0,830.0,830.0,200.0,nan,nan,0.0,106,106,0.0,830.0,830.0,200.0,nan,nan,0.0,170,163,0.0,845.0,845.0,720.0,125.0,845.0,720.0,129,0.0,845.0,845.0,475.0,370.0,845.0,475.0,163,0.0,845.0,845.0,720.0,125.0,845.0,720.0,False,False,True,True,True,False
t23b_codep_contact_release_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
